ra[deg]  dec[deg]  D[kpc]  Vlos[km/s]  PMRA[mas/yr]  PMDEC[mas/yr]
      348.620      19.7192      63.1982     -233.600   -0.0186891    -0.296142
      83.4835     -2.31391      42.8909     -174.821     0.210078     -1.05877
      170.808      17.5013      15.6819     -58.1574     -1.37672     -1.69354
      200.710      24.1526      26.0929     -129.792     -1.23331     -3.19032
      352.236      54.3084      28.0702     -434.283     0.907356    -0.199653
      19.8849      35.7820      62.3251     -31.7596     0.182285    -0.181356
      195.676      27.1678      34.3779     -89.9756     -1.29152     -1.29858
      55.2714      24.1646      48.4320     -208.734     0.644321    -0.795026
      248.200      3.55203      27.1108     -18.3106    -0.807122    -0.829411
      239.680     -63.0570      18.5599      165.405     -2.33173     -2.15608
      46.4311      42.3183      26.3108     -148.010     0.342514     -1.72666
      24.0618      20.4111      15.1651     -152.336      2.36573     -3.02378
      125.575     -39.8005      49.6924      414.773    0.0867703     0.123828
      42.4042      76.9663      56.2831     -167.717     0.818856    -0.173261
      349.917      8.40875      50.3320     -299.358     0.388381    -0.244731
      266.635     -45.3603      14.0113     -40.0537     -2.34280     -5.02403
      74.6917     -46.1030      95.6520     -39.4504     0.241614   -0.0725685
      93.9049      11.1826      21.1513      71.1023     0.308802     -1.34642
      139.196      16.8929      42.4824     -40.3778    0.0647733     -1.77622
      9.19872     -50.7958      20.2827      45.6267   -0.0872867     -2.57761
      65.6534      45.2647      52.3930     -110.871      1.39772    -0.838753
      8.18137     -19.8773      22.3226      72.2869      1.24409    -0.652035
      39.6565     -77.0957      21.3176      170.690      2.69643     0.968815
      253.325      23.9406      7.58394     -122.109     -2.73672     -3.64413
      12.5874     -7.67526      58.7759     -65.7948     0.602838    -0.682774
      325.734     -3.33623      30.4566     -188.431     0.388440    -0.599273
      29.6223      67.1642      20.7519     -286.835      2.87983     -1.13528
      163.649     -26.6129      22.3246      32.7991     -1.20125     -1.06853
      252.876     -17.2572      19.8584     -82.3119   -0.0359658     -2.06404
      294.630     -33.0780      27.1925     -113.536      1.26439    -0.968390
      306.459     -38.6550      37.4018     -125.918     -1.30078     -1.33662
     0.849614      56.1380      6.98540     -315.049      8.74501     -4.83367
      334.014     -19.2784      73.8194     -170.124    0.0972341     -1.12200
      210.933      23.6195      36.3778     -222.096     -1.58061    -0.231460
      336.994     -75.2199      68.4265      193.272    -0.125765    -0.597470
      267.462     -9.31033      66.3110      77.4617    -0.803273     -1.02762
      110.414      7.17597      23.2729      230.971      1.18619     -1.72937
      249.916      47.5772      64.3365     -6.57181    -0.825338    -0.138445
      267.038      3.57028      9.34874     -96.9429     -5.67718     0.694365
      248.637     0.413530      17.8297     -184.468     -2.30293     -3.00309
      265.231      53.5200      51.0520     -330.998    -0.696931    -0.156197
      308.841      56.5655      80.7482     -156.212     0.285238   -0.0391960
      242.993      36.1079      19.0144      11.0907     -1.79238     0.276133
      264.787      21.5799      9.03224     -213.794     -2.76548     -1.00387
      306.183      8.85166      89.8231     -219.669    -0.117139     0.362389
      85.8261      43.5157      43.2352      57.2200     0.804080    -0.567375
      42.7878      30.9141      21.1238     -145.761      2.88776    -0.985166
      170.965     -85.3600      27.9165      106.435    -0.151926      1.42161
      163.101     -1.58701      19.6846      145.404     -2.57369     -3.78732
      290.723     -64.7903      16.0831      132.449      1.83874     -5.40433
      23.7130      1.98193      62.3575      3.41280     0.781919     -1.18326
      251.101     -5.50899      64.3042     -125.387    -0.520822    -0.201428
