ra[deg]  dec[deg]  D[kpc]  Vlos[km/s]  PMRA[mas/yr]  PMDEC[mas/yr]
      9.11765     -28.8698      14.0165     -87.3817      3.74541     -3.97764
      213.215     -11.4678      24.5219     -40.8877    -0.386272    -0.231183
      55.2841      32.4480      33.8557     -249.299     0.668468     -1.71793
      217.958      42.4066      29.5772     -62.3563     -1.62121     -1.77127
      9.48054      44.9731      42.0123     -378.188      1.47012     -1.00654
      98.3950      71.5961      48.4804     -15.8348     0.769374     -1.55192
      286.844     -82.2760      14.5130      122.565    -0.401399     -1.20165
      34.7711      44.0961      40.6387     -75.9061     0.348860    -0.695794
      234.894      3.65928      13.3159     -16.9667     -1.71529     -5.29533
      196.165      47.0689      18.7914     -262.467     -1.17792     -1.25639
      162.790      33.7190      18.9864      49.1560     0.457928     -2.80902
      122.903     -17.9281      22.8271      122.159    -0.553933      1.09465
      197.563     -12.8852      12.6056      84.7208     -1.08266     -3.62529
      345.765     -34.6645      65.0718      186.542     -1.20522     -1.63162
      260.977      27.6483      13.7477     -269.833     -3.85613     -2.04475
      68.8849     -30.4620      25.2506      148.167      1.05122    -0.427364
      192.640     -35.4531      17.3410      240.238     -2.51151    -0.578694
      272.556      76.4861      17.4443     -331.828     -2.46101      2.62851
      124.478      30.3919      31.6841      14.6946    -0.125370    -0.925990
      252.437     -5.59616      9.03803      131.218     -3.04567     -3.22471
      267.179      21.8119      72.0497     -137.135    -0.462706    -0.629275
      169.308      8.65527      49.6471      275.821    -0.347698    -0.895839
      58.9700     -30.5057      69.4111     -19.5677     0.743343     0.297561
      294.674      68.5609      24.3365     -120.068    -0.209774      2.50433
      110.466     -33.1666      3.56667      366.906      11.3082     0.476630
      284.385      16.6355      25.5489     -132.468    -0.620580     -2.14171
      68.1925      22.4536      56.9931     -65.5571     0.937910    -0.654182
      181.841      46.4688      61.9409     -60.6303      1.37043    -0.409660
      221.593      57.0877      18.0714     -248.948     -3.43320    -0.559098
      210.114     -16.0793      25.7615      103.326    -0.254904     -1.95239
      129.655      38.4892      18.6257     -101.892     0.458246     -3.20159
      91.3381      56.3875      8.00833     -119.945      3.60989     -11.1182
      324.330      6.25593      18.0359     -166.282      1.05505     -4.29011
      157.207     -22.3162      17.2868      209.612     -2.24352    -0.802081
      173.611      49.4829      32.1372     -135.514     -1.63738    -0.653023
      231.099      20.0604      9.59214     -144.603     -4.63444     -4.25027
      63.7345     -36.2886      27.5988      135.644      1.00284     -1.80421
      229.115     -52.7544      26.7295      82.4650     0.490108   -0.0100693
      174.121     -62.2825      42.2400      249.220    -0.710377    -0.192782
      141.931      52.6161      79.3119     -200.501     0.510540     0.229062
      315.102     -1.75418      15.1532     -275.999   -0.0132677     -1.66873
      151.335      47.4460      15.6408      101.443     -1.72611     -3.02962
      95.8345      73.6310      17.7997     -85.5371      1.02736     -1.67676
      59.2478     -26.4526      20.0637     -9.46951      1.98187     -1.16605
      244.330     -8.70482      72.3961     -20.5913    -0.464268    -0.279574
      20.1085     -33.7556      38.3456      90.9449     0.270587    -0.915871
      232.746     -29.6527      21.5215      103.932     -1.68825     -1.21496
      187.424     -33.0732      54.9394      213.484     -1.37952     0.482612
      37.8066      20.6630      17.9628     -207.189  0.000415690    -0.176474
      60.1739     -51.0743      51.8393      293.236      1.75502    -0.272947
      99.2304     -30.7116      28.4332      403.363    -0.188774     -1.60785
      143.006     -46.2510      49.3946      239.196    -0.770601    -0.130242
      149.119     -54.3782      51.6693      289.132    -0.418445    -0.126320
      137.676      20.2525      23.9092      119.486     -2.31896     0.182185
      286.488      46.9491      19.5938     -411.485    -0.925514     0.226574
      6.42950      19.3283      14.1968     -262.597      2.67780     -2.22722
      234.531      38.0248      89.4852     -190.784    -0.639674     0.624568
      12.5821      15.8643      32.2983     -191.556    -0.251837     -1.76430
      287.705      73.3935      56.9904     -281.986    -0.181315     0.302080
      214.887    -0.472999      31.1926     -70.6904     -2.48524     -1.42621
